codigo_1;sigla_1;asignatura_1;codigo_2;sigla_2;asignatura_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico
101528;FM;FUNDAMENTOS DE MATEMÁTICAS;101545;EST;ESTADÍSTICA;0;0;0,0200;0,8683;0,8483
101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;0;0;0,0182;0,8653;0,8471
101537;GMF;GESTIÓN DEL MEDIO FÍSICO;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;0;0;0,0522;0,8960;0,8438
101523;FQ;FUNDAMENTOS DE QUÍMICA;101532;BIA;BASES DE INGENIERIA AMBIENTAL;0;0;0,0811;0,9223;0,8412
101547;CE;CALIDAD Y EMPRESA;101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;0;0;0,0599;0,9000;0,8401
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;0;0;0,0377;0,8777;0,8400
101524;QA;QUÍMICA AMBIENTAL;101526;FF;FUNDAMENTOS DE FÍSICA;0;0;0,0204;0,8579;0,8375
101555;EV;ECOFISIOLOGÍA VEGETAL;101563;FA;FISICOQUÍMICA DE AGUAS;0;0;0,0782;0,9107;0,8325
101524;QA;QUÍMICA AMBIENTAL;101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;0;0;0,0717;0,9037;0,8320
101555;EV;ECOFISIOLOGÍA VEGETAL;660007;EDAF;EDAFOLOGÍA;0;0;0,0685;0,9005;0,8320
101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;101563;FA;FISICOQUÍMICA DE AGUAS;0;0;0,0295;0,8614;0,8319
101524;QA;QUÍMICA AMBIENTAL;101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;0;0;0,0135;0,8454;0,8319
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;0;0;0,0299;0,8606;0,8307
101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;0;0;0,0023;0,8262;0,8239
101538;FZPEMA;FUNDAMENTOS ZOOLÓGICOS PARA EL ESTUDIO DEL MEDIO AMBIENTE;101547;CE;CALIDAD Y EMPRESA;0;0;0,0265;0,8494;0,8229
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0108;0,8295;0,8187
101560;PTU;PLANEAMIENTO TERRITORIAL Y URBANO;660059;OGP;ORGANIZACIÓN Y GESTIÓN DE PROYECTOS;0;0;0,0653;0,8830;0,8177
