codigo_1;sigla_1;asignatura_1;curso_1;cuatrimestre_1;codigo_2;sigla_2;asignatura_2;curso_2;cuatrimestre_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico;u_confluencia;u_solapamiento_sincronico;u_solapamiento_diacronico
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;1;2C;101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;4;1C;0;0;0,0435;0,8544;0,8109;1,0000;0,0000;0,0000
101549;GE;GESTIÓN DE ECOSISTEMAS;2;2C;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;4;2C;0;0;0,0395;0,8477;0,8082;1,0000;0,0000;0,0000
101555;EV;ECOFISIOLOGÍA VEGETAL;4;2C;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;4;2C;0;0;0,0125;0,8203;0,8078;1,0000;0,0000;0,0000
101529;EA;ECONOMÍA AMBIENTAL;2;2C;101561;GRUI;GESTIÓN DE RESIDUOS URBANOS E INDUSTRIALES;4;2C;0;0;0,0297;0,8373;0,8076;1,0000;0,0000;0,0000
101523;FQ;FUNDAMENTOS DE QUÍMICA;1;1C;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;3;1C;0;0;0,0147;0,8221;0,8074;1,0000;0,0000;0,0000
101538;FZPEMA;FUNDAMENTOS ZOOLÓGICOS PARA EL ESTUDIO DEL MEDIO AMBIENTE;1;2C;101557;GCP;GESTIÓN DE CAZA Y PESCA;4;2C;0;0;0,1624;0,9694;0,8070;1,0000;0,0000;0,5620
101541;EIAIPC;EVALUACIÓN DE IMPACTO AMBIENTAL: INSTRUMENTOS DE PREVENCIÓN Y CONTROL;4;1C;660059;OGP;ORGANIZACIÓN Y GESTIÓN DE PROYECTOS;4;1C;0;0;0,1155;0,9221;0,8066;1,0000;0,3275;0,0000
101524;QA;QUÍMICA AMBIENTAL;2;1C;101532;BIA;BASES DE INGENIERIA AMBIENTAL;2;2C;0;0;0,0691;0,8754;0,8063;1,0000;0,0000;0,0000
101529;EA;ECONOMÍA AMBIENTAL;2;2C;101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;1;2C;0;0;0,0020;0,8066;0,8046;1,0000;0,0000;0,0000
101540;GEE;GESTIÓN ENERGÉTICA Y ECOEFICIENCIA;3;2C;101545;EST;ESTADÍSTICA;1;2C;0;0;0,0001;0,8017;0,8016;1,0000;0,0000;0,0000
